datetime,event,impact
2007-01-02 09:00:00,Final Manufacturing PMI,MEDIUM
2007-01-03 08:55:00,German Unemployment Change,MEDIUM
2007-01-03 13:15:00,ADP Non-Farm Employment Change,MEDIUM
2007-01-03 15:00:00,ISM Manufacturing PMI,HIGH
2007-01-03 19:00:00,FOMC Meeting Minutes,HIGH
2007-01-04 15:00:00,ISM Services PMI,HIGH
2007-01-04 15:00:00,Pending Home Sales m/m,HIGH
2007-01-04 15:00:00,Factory Orders m/m,MEDIUM
2007-01-05 13:30:00,Average Hourly Earnings m/m,MEDIUM
2007-01-05 13:30:00,Non-Farm Employment Change,HIGH
2007-01-05 13:30:00,Unemployment Rate,HIGH
2007-01-05 18:45:00,Fed Chairman Bernanke Speaks,MEDIUM
2007-01-08 07:00:00,German Retail Sales m/m,MEDIUM
2007-01-08 11:00:00,German Factory Orders m/m,MEDIUM
2007-01-08 17:45:00,FOMC Member Kohn Speaks,MEDIUM
2007-01-09 11:00:00,German Industrial Production m/m,MEDIUM
2007-01-10 07:45:00,French Industrial Production m/m,MEDIUM
2007-01-10 13:30:00,Trade Balance,HIGH
2007-01-11 12:45:00,Main Refinancing Rate,MEDIUM
2007-01-11 13:30:00,ECB Press Conference,HIGH
2007-01-12 13:30:00,Core Retail Sales m/m,HIGH
2007-01-12 13:30:00,Retail Sales m/m,HIGH
2007-01-12 13:30:00,Import Prices m/m,MEDIUM
2007-01-12 15:00:00,Business Inventories m/m,MEDIUM
2007-01-12 19:00:00,Federal Budget Balance,MEDIUM
2007-01-15 10:00:00,Industrial Production m/m,MEDIUM
2007-01-16 10:00:00,German ZEW Economic Sentiment,MEDIUM
2007-01-16 13:30:00,Empire State Manufacturing Index,MEDIUM
2007-01-17 13:30:00,Core PPI m/m,MEDIUM
2007-01-17 13:30:00,PPI m/m,HIGH
2007-01-17 14:00:00,TIC Long-Term Purchases,HIGH
2007-01-17 14:15:00,Capacity Utilization Rate,MEDIUM
2007-01-17 14:15:00,Industrial Production m/m,MEDIUM
2007-01-17 18:00:00,FOMC Member Mishkin Speaks,MEDIUM
2007-01-17 19:00:00,Beige Book,MEDIUM
2007-01-18 10:00:00,ECB Monthly Bulletin,MEDIUM
2007-01-18 13:30:00,Housing Starts,MEDIUM
2007-01-18 13:30:00,CPI m/m,MEDIUM
2007-01-18 13:30:00,Building Permits,MEDIUM
2007-01-18 13:30:00,CPI y/y,HIGH
2007-01-18 13:30:00,Core CPI m/m,HIGH
